Recipient,Token,Token,Amount,Distribution ID,Transaction Hash
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xeD236c32f695c83Efde232c288701d6f9C23E60E,0xeD236c32f695c83Efde232c288701d6f9C23E60E,4.23894975,1,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,8.4778995,1,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0.21194749,1,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xb9E05B4C168B56F73940980aE6EF366354357009,0xb9E05B4C168B56F73940980aE6EF366354357009,2.54336985,1,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xeD236c32f695c83Efde232c288701d6f9C23E60E,0xeD236c32f695c83Efde232c288701d6f9C23E60E,2.92370704,2,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,5.84741409,2,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0.14618535,2,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xb9E05B4C168B56F73940980aE6EF366354357009,0xb9E05B4C168B56F73940980aE6EF366354357009,1.75422423,2,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xeD236c32f695c83Efde232c288701d6f9C23E60E,0xeD236c32f695c83Efde232c288701d6f9C23E60E,5.60258225,3,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,7.47010966,3,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0.37350548,3,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xb9E05B4C168B56F73940980aE6EF366354357009,0xb9E05B4C168B56F73940980aE6EF366354357009,2.61453838,3,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xeD236c32f695c83Efde232c288701d6f9C23E60E,0xeD236c32f695c83Efde232c288701d6f9C23E60E,3.06262033,6,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,0x12b70d84DAb272Dc5A24F49bDbF6A4C4605f15da,4.08349377,6,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0xFa4b16b0f63F5A6D0651592620D585D308F749A4,0.20417469,6,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xb9E05B4C168B56F73940980aE6EF366354357009,0xb9E05B4C168B56F73940980aE6EF366354357009,1.42922282,6,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,0.84778995,1,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xd50c729cEbb64604b99E1243a54e840527360581,0xd50c729cEbb64604b99E1243a54e840527360581,0.16955799,1,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,0.87711211,2,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xd50c729cEbb64604b99E1243a54e840527360581,0xd50c729cEbb64604b99E1243a54e840527360581,0.11694828,2,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,1.12051645,3,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xd50c729cEbb64604b99E1243a54e840527360581,0xd50c729cEbb64604b99E1243a54e840527360581,0.14940219,3,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,0x50d8D7F7CcEA28cc1C9dDb996689294dC62569cA,0.40834938,6,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
0x4a895D96c988ac0d47de1aE4E6F20Dfc5fB51c2A,0xd50c729cEbb64604b99E1243a54e840527360581,0xd50c729cEbb64604b99E1243a54e840527360581,0.08166988,6,0xe81529c8a9d4f5713c1d7a48225a03ff485705f674bd1a58421ebed725d51406
